sound	source	issue	date	page
SHUFFLE SHIFFLE	MAN SKOOTING ON FLOOR	272	JULY 1987	PAGE 43
SHUKA SHUKA SHUKA	SHAKING GROCERIES OUT OF BAG	173	MAR 1975	PAGE 11
SHWIK SHWIKA SHK SHHHSK SHASHWIK SHWIKA SHWIK SHASH SHAK	NATIVE SHUFFLING SHRUNKEN HEADS	111	JUNE 67	PAGE 42
SILENCE	INDIAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
SIT SIT SIT	DOCTOR CUTTING BELLY OF MAN	110	APR 67	PAGE 10
SITZ SITTZLE SIZZOTZ KRAKLE	THE HUMAN TORCH HUGGING HIS GIRLFRIEND	210	OCT 1979	PAGE 20
SIZAFITZ	LIT CIGARETTE POKES EYEBALL	SPECIAL #23	1977	BONUS INSERT STICKERS
SIZZLE SITZ	FLARE FIZZLING OUT	215	JUNE 1980	PAGE 48
SKAPASCH	MOVIE CAMERA FALLING ONTO MAN	197	MAR 1978	PAGE 37
SKAPLUNCH	MALARIA STICKING SWORD INTO DRAGON	235	DEC 1982	PAGE 45
SKAPROING	PILOT EJECTING FROM JET	267	DECEMBER 1986	PAGE 48
SKAZEECH SKAZOOCH SKAZEECH SKAZOOCH	MAGICIAN CUT A BOX IN HALF	213	MARCH 1980	PAGE 15
SKLAZONCHO!	MERVYN CUTTING A MAN IN A BOX INTO TWO	227	DEC 1981	PAGE 28
SKLERCH!	MAN'S POPPING EYES STOPPED BY GLASSES	174	APRIL 1975	PAGE 31
SKLISHITTY SKLOSHITTY SKLISHITTY SKLOSHITTY	AQUAMAN WALKING AROUND IN A SQUISHY WETSUIT	210	OCT 1979	PAGE 20
SKLISHK	FLOWER SQUIRTING WATER IN MAN'S FACE	126	APRIL 1969	PAGE 14
SKLITCH	KING ARDOR CUTTING OFF SIR FINGBURN'S HEAD	227	DEC 1981	PAGE 26
SKLIZZORCH!	CONEHEAD STICKING SWORD INTO DRAGON'S HEAD	235	DEC 1982	PAGE 45
SKLOOSH	HAND SQUEEZING WATER BAG	126	APRIL 1969	PAGE 13
SKLORK	STEAM ROLLER HITTING EYE	140	JANUARY 1971	PAGE 31
SKLORK	EYE CRUSHED BY STEAMROLLER	140	JAN 1971	PAGE 31
SKLORSH	VENDING MACHINE SQUIRTING DUTCH BOY	204	JAN 1979	PAGE 39
SKLORTCH,SKLITCH SKLITCH	ATAT STEPPING ON EWOK, THEN SCRAPING IT OFF IT'S FOOT	243	DEC 1983	PAGE 41
SKLUK	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SKLUKLE	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SKLURK	FAT WOMAN SITTING ON MAN	102	APR 66	PAGE 26
SKNIFFLE	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SKNIKLE	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SKNITCH	PIN PUSHING INTO BABY'S HEAD	91	DEC 1964	PAGE 26
SKNOSH	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SKRAK	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
SKRAKIT SKRAKIT	WILD SKRAKIT BIRD	153	SEP 1972	PAGE 16
SKRAWK	CROP DUSTER	263	JUNE 1986	PAGE 35
SKREECH	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
SKREEE	TRUCK STOPPING	196	JAN 1978	PAGE 25
SKREEE	POLICE CAR SCREECHING TO A HALT	254	APRIL 1985	PAGE 22
SKREEEE	BRAKING CAR	93	MAR 1965	PAGE 7
SKREEEE	CAR SKIDDING TO STOP	95	JUNE 1965	PAGE 27
SKREEEE	TIRES FROM CAR BREAKING	150	APR 1972	PAGE 42
SKREEEEE	POLICEMAN SKIDDING TO A STOP	137	SEPTEMBER 1970	PAGE 42
SKREEEEE	TRUCKS BRAKING TO A HALT	174	APRIL 1975	PAGE 40
SKREEEEE	CAMEL COMING TO A QUICK STOP	234	OCT 1982	PAGE 21
SKREEEEEE	HORSES STOPPING	56	JULY 1960	PAGE 48
SKREEEEEE	MOON ROVER	148	JAN 1972	PAGE 33
SKREEEEEE	CAR TURNING A CORNER	263	JUNE 1986	PAGE 12
SKREEEEEEEK	VAN PULLING UP IN A HURRY	190	APR 1977	PAGE 13
SKREEEEEK	HORSES STOPPING	154	OCT 1972	PAGE 31
SKREEEEK	HORSES STOPPING	127	JUNE 1969	INSIDE FRONT COVER
SKREEEEK	TRUCK COMING TO A STOP	241	SEPT 1983	PAGE 42
SKREEEK	HOSPITAL BED BEING PULLED AROUND A CORNER	243	DEC 1983	BACK COVER
SKREEK	SHOES SLIDING INTO HOME PLATE OR FIRST BASE	107	DEC 66	PAGE 29
SKREEK	SHOES SKIDDING TO A STOP	110	APR 67	PAGE 42
SKREEK	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
SKREEK	MAN STOPPING	132	JANUARY 1970	PAGE 7
SKREEK	LIGHTNING	133	MARCH 1970	PAGE 15
SKREEK	SKATEBOARD STOPPING ON PAVEMENT	189	MAR 1977	PAGE 23
SKREEK	CAR STOPPING	196	JAN 1978	PAGE 25
SKREEK	SUPERMAN TRYING TO OPEN A STUCK WINDOW	226	OCT 1981	BACK COVER
SKREEK	CROP DUSTER	263	JUNE 1986	PAGE 35
SKREEK SKREEK	SUPERMAN TRYING TO OPEN A STUCK WINDOW	226	OCT 1981	BACK COVER
SKREEK SKREEK SKREEK	CAR	136	JULY 1970	PAGE 48
SKREEKLE GLEEP SKRONK	WOMAN TRYING TO BIRD CALL	217	SEPT 1980	PAGE 42
SKREEYEEEK	INDIAN TURING AROUND A CACTUS ARM	204	JAN 1979	PAGE 23
SKREEYEEYEEYEEYEEK	TRUCK ROUNDING CORNER ON TWO WHEELS	95	JUNE 1965	PAGE 29
SKRIBBLE SKRAZITZ SKRAZATZ	POLICEMAN WRITING OUT A SUMMONS	207	JUN 1979	PAGE 23
SKRICH SKRICHA SKRINK	CARVING OUTSIDE OF STICK	146	OCT 1971	PAGE 23
SKRITCH SKRITCH SHOOKA SHOOKA	BLOCK ON DUNGEON WALL BEING WORKED ON	223	JUNE 1981	BACK COVER
SKROIK	SUPERMAN OPENING WINDOW AND LIFTING HOUSE	226	OCT 1981	BACK COVER
SKROINCH	MUSCLE MAN GRASPS A GUY'S EARS FROM BEHIND AND STRETCHES HIS HEAD	SPECIAL #23	1977	BONUS INSERT STICKERS
SKROINCH	MAN RIPPING OUT A SEAT ON A BUS	211	DEC 1979	PAGE 34
SKROINCH	SPIDERMAN BEING HIT BY WINDOW WASHERS	212	JAN 1980	PAGE 12
SKRONCH	RAFT HITTING THE BEACH	138	OCTOBER 1970	PAGE 11
SKROOM	CAR	136	JULY 1970	PAGE 48
SKROOOK	SKATEBOARDER COMING TO A QUICK STOP	200	JUL 1978	PAGE 11
SKRUNCH SKRUNCH SKRUNCH SKRICHA SKRICHA SKRICHA	CARVING HOLE IN STICK	146	OCT 1971	PAGE 21
SKRUNCHA SKRUNCHA WIZ GA-WIZ	KING KONG PLAYING WITH TOY	192	JUL 1977	PAGE 33
SKWA-BA-DAP	THREE ONLOOKERS BEING SQUASHED BY A GUY ON SKIS	243	DEC 1983	PAGE 12
SKWAKO	HORSE KICKING THE LONE RANGER	216	JULY 1980	PAGE 15
SKWAPPO	THE SILVER SURFER WIPING OUT ON A METEOR	210	OCT 1979	PAGE 23
SKWAPPO	PERSON JUMPING FROM BUILDING AND HITTING GROUND	219	DEC 1980	PAGE 12
SKWEEK SKWEEK	CLEANING OUT LINCOLN'S MT. RUSHMORE EARS	178	OCT 1975	PAGE 15
SKWEEK SKWEEK	MOUNT RUSHMORE EAR BEING CLEANED	180	JAN 1976	PAGE 2
SKWEEK SKWEEK	UNSCREWING A WOODEN PEG LEG	233	SEPT 1982	PAGE 37
SKWIK SKWIK SKWIK	PEPPER MILL	268	JANUARY 1987	PAGE 42
SKWIK SKWIK SKWIK	WAITER TWISTING CHOKING MAN	268	JANUARY 1987	PAGE 42
SKWONK	SNAKE CHARMER'S FLUTE	124	JANUARY 1969	PAGE 11
SLOBBLE	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SLOOPLE GLIK SPLORP	MAN EATING SOUP	161	SEPT 1973	PAGE 48
SLURK GLURKLE GLUP	MAN EATING SOUP	161	SEPT 1973	PAGE 48
SMAK	PRINCESS KISSING FROG	180	JAN 1976	INSIDE FRONT COVER
SMAK	PRINCESS KISSING FROG	185	SEPT 1976	INSIDE FRONT COVER
SMAK	PRINCESS KISSING FROG	190	APR 1977	INSIDE BACK COVER
SMAK	PRINCESS KISSING A FROG	194	OCT 1977	BACK COVER
SMAK	KISSING	197	MAR 1978	BACK COVER
SMAK	FEMALE FROG KISSING A PRINCE	200	JUL 1978	BACK COVER
SMAK	PRINCESS KISSING A FROG	200	JUL 1978	BACK COVER
SMAK	PRINCESS KISSING A FROG	202	OCT 1978	BACK COVER
SMAK	PRINCESS KISSING A FROG	220	JAN 1981	BACK COVER
SMAK	PRINCESS KISSING FROG	247	JUNE 1984	BACK COVER
SMASH	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
SMEK	PRINCESS KISSING FROG	166	APRIL 1974	PAGE 22
SNAP	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
SNAP	HANDCUFFS	122	OCTOBER 1968	PAGE 12
SNAP	A WISHBONE SNAPPING	160	JULY 1973	PAGE 42
SNAP GRASP ZIP PULL	MAN OPENING SURVIVAL RAFT	134	APRIL 1970	INSIDE FRONT COVER
SNAP KRAK	BREAKING TWIGS	181	MAR 1976	PAGE 48
SNAP PLOOBADOOF	WONDER WOMAN RELEASING HER AMAZON BRASSIERE	210	OCT 1979	PAGE 22
SNAP SNAP	TADPOLE SNAPPING FINGERS	124	JANUARY 1969	PAGE 27
SNAP SNAP	MAGIC CARPET PILOT SNAPPING FINGERS	161	SEPT 1973	PAGE 21
SNAP SNAP SNAP	ALLIGATORS CHOMPING AFTER A DOCTOR IN AFRICA	73	SEPTEMBER 1962	PAGE 13
SNIF	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SNIFF	WELL-PLACED DOG NOSE SNIFFING	173	MAR 1975	PAGE 48
SNIFF SNIFF SNIFF SNIFF	DOG SNIFFING	173	MAR 1975	PAGE 48
SNIFFLE	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SNIKKER	LAUGHTER	261	MARCH 1986	PAGE 42
SNIP	BARBER CUTTING BRANCH GROWING OUT OF LINCOLN'S NOSE	93	MAR 1965	PAGE 8
SNIP	HAIR CUTTING	99	DEC 1965	PAGE 9
SNIP SNIP	BARBER SCISSORS SNIPPING	93	MAR 1965	PAGE 7
SNIP SNIP	NOSE HAIR CUTTING	99	DEC 1965	PAGE 9
SNIP SNIP SNIP SNIP	A HAIRCUT	81	SEPT 1963	PAGE 48
SNIP SNIP SNIP SNIP	CUTTING BANDAGES WITH SCISSORS	197	MAR 1978	PAGE 37
SNIP!	WOMAN CUTTING FLOWER OUT OF HER HAIR	53	MARCH 1960	PAGE 32
SNUFFLE	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SOB	GENTEEL BEN AND WARDEN TAME CRYING	122	OCTOBER 1968	PAGE 10
SPA- ZUNCH	SUPERMAN SWATTING A FLY ON LOIS'S BACK	210	OCT 1979	PAGE 23
SPALOOSH	MAFIA INFORMANT DUMPED IN RIVER WEARING CEMENT SHOES	247	JUNE 1984	PAGE 48
SPAMAMP MABBIT FLABADAP GONK	RUNNERS CRASHING INTO A STONE WALL	233	SEPT 1982	PAGE 9
SPAMP	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
SPASH	BOY SMASHING PIGGY BANK WITH HAMMER	201	SEP 1978	PAGE 21
SPAZAT	AIRBOAT	122	OCTOBER 1968	PAGE 9
SPAZOOSH SSSSSSSST	WATER POURING OVER OF A ELAVATOR SHAFT	219	DEC 1980	PAGE 15
SPITZ SPOPPLE SPATZ	SPIDERMAN'S WEB NOT COMING OUT PROPERLY	212	JAN 1980	PAGE 14
SPLADAP	DEAD FISH THROWN AT AND RICOCHETING OFF FACE	SPECIAL #23	1977	BONUS INSERT STICKERS
SPLADUNK	CASKETT BEING SLAM DUNKED INTO OPEN GRAVE	257	SEPT 1985	PAGE 9
SPLAK	BABY TOSSING FOOD ON HIS HEAD WITH A SPOON	211	DEC 1979	PAGE 48
SPLAP	SPAGHETTI BEING TOSSED INTO BOWL	88	JULY 1964	PAGE 10
SPLAP!!	WOMAN FALLING ON REAR END AFTER POGO STICK YANKED OUT FROM UNDER HER	67	DECEMBER 1961	PAGE 8
SPLAPPLE PLAP	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
SPLASH SPLISHLE SPLISH SPLOSH SPASHLE GLISH SPLESH	BATH WATER PARTING AS DONE BY MOSES	186	OCT 1976	14-15
SPLAT	EGG HITTING ROBINSON CRUSOE IN HIS HEAD	75	DECEMBER 1962	PAGE 27
SPLAT	FACE BEING PUNCHED	85	MAR 1964	PAGE 26
SPLAT	HAND SQUISHING SPIDER	92	JAN 1965	PAGE 29
SPLAT	ARTIST THROWING SCULPTURE HEAD ON TABLE	105	SEPT 66	PAGE 32
SPLAT	PEOPLE HITTING HIJACKER	264	JULY 1986	PAGE 36
SPLAZOOSH	WOMAN POURING WATER ON FIRE	217	SEPT 1980	PAGE 17
SPLISH	MAN DIVING INTO WISHING WELL	131	DECEMBER 1969	PAGE 8
SPLISHIDY-SPLASH- SPLADISH-SPLADISH ... SPLISHIDY-SPLASHIDY- SPLAPIDY-SPLIP ...	DANCING IN THE RAIN	184	JUL 1976	PAGE 15
SPLITCH	TOMATO HITS FACE	SPECIAL #23	1977	BONUS INSERT STICKERS
SPLOIT	BABY THROWING FOOD FROM A SPOON	211	DEC 1979	PAGE 48
SPLOOSH	MAN HITTING WATER IN BOTTOM OF WELL	98	OCT 1965	PAGE 12
SPLOOSH	GOLF CLUB HITTING WATER	125	MARCH 1969	PAGE 13
SPLOP	BIRD FALLING AND HITTING GROUND	179	DEC 1975	PAGE 11
SPLOP	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
SPLORK	BABY WITH SPOON IN A BOWL	211	DEC 1979	PAGE 48
SPLORP BLATCH THWIP BLIF PLORF BLAP	BABY AND PARENTS TOSSING FOOD AROUND KITCHEN WHILE EATING	211	DEC 1979	PAGE 48
SPLORPLE BLAPPLE	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
SPLOYDOING	MANS GUTS POPPING OUT LIKE JACK IN THE BOX	110	APR 67	PAGE 11
SPLURP	ARTIST PULLING SCULPTURE HEAD OF STAND	105	SEPT 66	PAGE 32
SPMAMP	SCULPTOR SCRUNCHING MAN'S FACE	229	MARCH 1982	PAGE 11
SPMAP!	STEPPING ON BUG	150	APR 1972	PAGE 19
SPOOF	FLAME STARTING	217	SEPT 1980	PAGE 17
SPOOSHT	MAN GEETING SQUIRTED BY A FIRE HYDRANT	203	DEC 1978	PAGE 11
SPOP	AIRBOAT	122	OCTOBER 1968	PAGE 9
SPRAZOT SPRAT	PAINT SPRAY CAN	213	MARCH 1980	PAGE 14
SPRITSITS	PAINT SPRAY CAN	213	MARCH 1980	PAGE 14
SPRITZ	PAINT SPRAY CAN	213	MARCH 1980	PAGE 14
SPRIZAWITZ	PAINT SPRAY CAN	213	MARCH 1980	PAGE 14
SPRIZZITZ	SPIDERMAN BEING SPRAYED WITH BUG SPRAY	212	JAN 1980	PAGE 12
SPROING	SPRING	137	SEPTEMBER 1970	PAGE 11
SPROING	BODY POPPING OUT OF CAKE	196	JAN 1978	PAGE 44
SPROING	FEMALE FROG JUMPING	200	JUL 1978	BACK COVER
SPROING	SPRING SNAKE POPPING OUT OF BASKET	206	APR 1979	PAGE 23
SPROING GING	SPRING	137	SEPTEMBER 1970	PAGE 11
SPROINGACHONK	SPRING-LOADED AX	272	JULY 1987	PAGE 14
SPROINGDOINK	MECHANICAL BOXING GLOVE	138	OCTOBER 1970	PAGE 35
SPROP BLOP BLOP	PEOPLE VOMITING	266	OCTOBER 1986	PAGE 48
SPROWMMM	AIRBOAT	122	OCTOBER 1968	PAGE 9
SPUKKONK	AIRBOAT	122	OCTOBER 1968	PAGE 9
SPUSH	PERSPIRATION BEING RELEASED	89	SEPT 1964	PAGE 37
SPUTZ!	AIRBOAT	122	OCTOBER 1968	PAGE 9
SPUTZ-SPITZA CHUKKUNK-CLUNK	CAR RUNNING OUT OF GAS	117	MAR 68	PAGE 11
SPWAKO	SHIP BEING HIT TREMENDOUSLY HARD WITH A CHAMPAGNE BOTTLE	247	JUNE 1984	PAGE 11
SPWAP	CONSTRUCTION WORKER STAMP "KILL" ON STEAM SHOVEL	214	APRIL 1980	PAGE 13
SPWAPPO	PEOPLE HITTING HIJACKER	264	JULY 1986	PAGE 36
SPWATCH	FRIED EGGS THROWN IN FACE COVERING EYES	SPECIAL #23	1977	BONUS INSERT STICKERS
SSAT	PHONE BOOK SHAPED FLATTENED HUMAN BODY CREASING AT SPINE	92	JAN 1965	PAGE 14
SSLIT	SPY PULLING POISONED DAGGER FROM CANE	106	OCT 66	PAGE 24
SSSSSSSS	DEFLATING DOCTOR'S HEAD	93	MAR 1965	PAGE 33
SSSST!	BUG SIZZLING BY MAGNIFYING GLASS SUNLIGHT	174	APRIL 1975	PAGE 40
STAMP (10 TIMES)	GROUP STAMPING OF FEET	171	DEC 1974	PAGE 42
STAMP STAMP	LARGE MECHANICAL FOOT STOMPING	194	OCT 1977	PAGE 23
STEALTH	INDIAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
STOINK PING	KING KONG BREAKING A TRAIN	262	APRIL 1986	PAGE 22
STOOF	GRABBING GROCERY BAG	173	MAR 1975	PAGE 11
STOONG	GARGOYLE HITTING SALEMAN IN THE HEAD	218	OCT 1980	PAGE 39
STOOPFT!	MAN IN BIRD SUIT CRASHING TO GROUND	172	JAN 1975	PAGE 40
STROINGGOINK	OLIVE OYL FALLING DOWN A SIDEWALK GRATING AND BEING SAVED BY HER NOSE	210	OCT 1979	PAGE 23
SUT FLUT FLIT FLOT	FOLDING UP FLATTENED MAN	155	DEC 1972	PAGE 13
SWAP	FOOTBALL HITTING MANS FACE	100	JAN 66	PAGE 42
SWIF	THROWING "FOLDED MAN" AIRPLANE	155	DEC 1972	PAGE 13
SWISH FLIBADIP	RAPUNZEL'S HAIR	129	SEPTEMBER 1969	INSIDE FRONT COVER
SWIT	HIPPIE SLIPPING ON BANANA PEEL	116	JAN 68	PAGE 14
SWIT	NET HITTING GENTEEL BEN	122	OCTOBER 1968	PAGE 8
SWIT FLIP SNAT GAFLOR ZINGO PLOOF ZIZ KLAK FAZZAT TWOP TONK PLIF FLINK FAK POK ETC. ETC. ETC	CAMPER RE-FOLDING	152	JUL 1972	PAGE 13
SWIT-PLOP	PLATE HITTING SPAGHETTI	126	APRIL 1969	PAGE 29
SWIT-PLOP	BAGGERS BAGGING GROCERIES	173	MAR 1975	PAGE 11
SWIT-PLOP	NURSE SITTING MAN ON TABLE	199	JUN 1978	PAGE 31
SWIT-SWIT	GENTEEL BEN SPELLING "NEVER!" WITH MONEY AND JEWELS	122	OCTOBER 1968	PAGE 11
SWIZZAK	TELEPHONE FALLING	272	JULY 1987	PAGE 43
SWIZZAT-SWAT	GENTEEL BEN SPELLING "NEVER!" WITH MONEY AND JEWELS	122	OCTOBER 1968	PAGE 11
TAP BAP SHA-PAP	TADPOLE TAP DANCING	124	JANUARY 1969	PAGE 27
TAP TAP TAP	PATTER OF LITTLE FEET	36	DECEMBER 1957	PAGE 41
TAP TAP TAP	PRISONERS RAPPING SPOONS AND CUPS	67	DECEMBER 1961	PAGE 48
TAP TAP TAP	BLIND MAN WALKING INTO THE STREET	140	JANUARY 1971	PAGE 31
TAP TAP TAP	FOOT TAPPING ROAD	140	JAN 1971	PAGE 31
TAP TAP TAP TAP	MAN TAPPING ON WINDOW	270	APRIL 1987	PAGE 35
TAP TAP TAP TAP TAP TAP TAP TAP TAP	BLIND MAN'S CANE	237	MARCH 1983	PAGE 27
TAP!TAP!TAP!	CONDUCTOR TAPPING	55	JUNE 1960	PAGE 9
TATTATATTAT	WEDDING PARTY SHOOTING BOUQUET	265	SEPTEMBER 1986	PAGE 40
THAP	MAN STEPPING ON BUG	135	JUNE 1970	PAGE 11
THAP THAP THAP	MAN STEPPING ON BUG	135	JUNE 1970	PAGE 11
THAP THAP THAP THAP THAP THAP	MAN STEPPING ON BUG	135	JUNE 1970	PAGE 11
THAPLOOF	HORSE JUMPING FROM ON LEDGE TO ANOTHER	216	JULY 1980	PAGE 15
THHHUT! THHHHT!	MAN GETTING TWO ARROWS IN THE BACK	197	MAR 1978	PAGE 11
THHLORP	SPIDERMAN SENDING WEB INTO SOUP	212	JAN 1980	PAGE 14
THIKOOSH	HIPPIE LIGHTING MATCH ON CRUSTY JEANS	116	JAN 68	PAGE 13
THIZ ZIZ ZIZ ZIZ ...	SPIDERMAN'S SECRET WEB FLUID BACKFIRING	210	OCT 1979	PAGE 22
THLBBADUP	DRACULA BEING EMPTIED OUT OF A COFFIN	213	MARCH 1980	PAGE 15
THLIP	DOOR OPENING ON THE ENTERPRISE	251	DEC 1984	PAGE 30
THLOOP!	SCULPTOR SWIPING ACROSS MAN'S FACE	229	MARCH 1982	PAGE 11
THLUCK	BIRD PULLING A BABY BIRD OUT OF AN ANOTHER BABY BIRD'S MOUTH	211	DEC 1979	PAGE 23
THLUP	KID PUTTING EYEPLUG IN EYE SOCKET	114	OCT 67	PAGE 9
THOIP	SWORD BEING DRAWN FROM SIR ALBERT'S BUTT	227	DEC 1981	PAGE 25
THOIPOING	MAN'S EYES POPPING TOWARD BEAUTIFUL GIRL	174	APRIL 1975	PAGE 31
THOMP SKLUK SPLATCH GOOSH	CONEHEAD STOMPING ON OPPONENT	235	DEC 1982	PAGE 44
THOO	COLLAPSING HEAD	93	MAR 1965	PAGE 33
THOO DINK	PELLET BLOWN FROM TUBE BOUNCES OFF BALLOON	137	SEPTEMBER 1970	BACK COVER
THOO! DOINK	PELLET BLOWN HARDER FROM TUBE BOUNCES OFF BALLOON	137	SEPTEMBER 1970	BACK COVER
THOO DOOMP	TWO BODIES HITTING GROUND	166	APRIL 1974	PAGE 23
THOOF-FOING	PALEONTOLOGIST GETTING BOUNCED ON BY DINOSAUR	112	JULY 67	PAGE 48
THOOM THOOM	THOR DEMANDING SERVICE IN A TYPICAL RESTAURANT	210	OCT 1979	PAGE 23
THOOMP	TARZAN LANDING ON GROUND	114	OCT 67	PAGE 48
THOOMP	TARZAN LANDING ON GROUND	183	JUN 1976	PAGE 11
THOO! PAF	PELLET BLOWN EVEN HARDER FROM TUBE BLOWS UP BALLOON HEAD	137	SEPTEMBER 1970	BACK COVER
THORT	BIRD DROPPINGS HIT MAN'S HAT	SPECIAL #23	1977	BONUS INSERT STICKERS
THOT	RECESSED HEAD POPPING BACK TO NORMAL	93	MAR 1965	PAGE 33
THUBALUP THUBALUP THUBALUP	HORSE GALLOPING ALONG	216	JULY 1980	14-15
THUD	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
THUD	SPIDERMAN CRASHING TO THE GROUND	212	JAN 1980	PAGE 13
THUGAWUNK	FIREMAN FALLING TO GROUND OFF A SHORTENED POLE	219	DEC 1980	PAGE 13
THUK	ARROW TRAVELS THROUGH HEAD THROUGH EARS AND STOPS	SPECIAL #23	1977	BONUS INSERT STICKERS
THUMP	WHITE MAN RUNNING THROUGH WOODS	121	SEPTEMBER 1968	PAGE 14
THUMP (6 TIMES)	CAVEMEN THUMPING CHEASTS	113	SEPT 67	PAGE 30
THUMP BUMP	MEATBALL BOUNCING	88	JULY 1964	PAGE 8
THUMP BUMP KLUMP TRUMP	BELLY RUMBLING	95	JUNE 1965	PAGE 27
THUMP THUMP THUMP THUMP	BIG ROCK BEATEN AGAINST THE GROUND	153	SEP 1972	PAGE 18
THUMP!	MATCH STICK HITTING FLOOR	59	DECEMBER 1960	PAGE 16
THUNCK	CHEMISTRY SET BEING BASHED ON HEAD	92	JAN 1965	PAGE 29
THUTHHHH...	RECESSED HEAD INFLATING	93	MAR 1965	PAGE 33
THWA-DAP! SPLA-MAP!	MAN SLAMED ON SIDEWALK BY BUG	150	APR 1972	PAGE 19
THWAK	FOREST VARLET, LITTLE JOHN, HITTING ROBIN HOOD IN THE HEAD WITH A STAFF	71	JUNE 1962	PAGE 28
THWAK	DRIVER HITTING CADDY	125	MARCH 1969	PAGE 12
THWAK	CHICAGO POLICEMAN HITTING HIPPIE	128	JULY 1969	PAGE 21
THWAK	MAN SLAPPING MAN ON BACK	140	JANUARY 1971	PAGE 31
THWAK	SLAP ON THE BACK	140	JAN 1971	PAGE 31
THWAK	MAN HITTING WOMAN WITH TENNIS RACKET	168	JULY 1974	PAGE 48
THWAK	HAND SLAPPING BABY'S BUTT	174	APRIL 1975	PAGE 11
THWAK	TOOTH BEING KNOCKED OUT OF MOUTH WITH A HOCKEY PUCK	257	SEPT 1985	PAGE 21
THWAK BAK PWADAK KLAK	MEN FIGHTING WITH STICKS	197	MAR 1978	PAGE 11
THWAK THWAK THWAK THWAK	STOUT STICK BEATEN AGAINST THE GROUND	153	SEP 1972	PAGE 18
THWAP	FOOTBALLPLAYER GRABBING BALL AND COACH'S HAND	109	MAR 67	PAGE 15
THWAP	DRIVER HITTING GOLF BALL	125	MARCH 1969	PAGE 12
THWAP	CLAMP BEING SLAPPED INTO HAND	151	JUN 1972	PAGE 8
THWAT	BULLY STRONGMAN THROWING SAND ON HEAD OF WEAKLING	80	JULY 1963	PAGE 41
THWIP	MAN KICKING MAN	128	JULY 1969	PAGE 11
THWIT	POSTER BEING UNROLLED	246	APRIL 1984	PAGE 28
THWIZZIT!	PAPER JERKED FROM TYPEWRITER	119	JUN 68	PAGE 48
THWOCK!	A FAT LADY HITTING A FIREMEN'S SAFETY NET	219	DEC 1980	PAGE 41
THWOK	ARROW SPLITTING APPLE AND STICKING IN TREE	250	OCT 1984	BACK COVER
THWOP	SCALPEL SLAPPED THROUGH HAND	151	JUN 1972	PAGE 8
THWOP	CIVIL WAR CAP THROWN TO GROUND	163	DEC 1973	PAGE 21
THWOP	SPIDERMAN SHOOTING OUT WEB	212	JAN 1980	PAGE 14
THWOP!	MAN RETURNING TO ORIGINAL SHAPE	128	JULY 1969	PAGE 11
THWOP!	GIANT SHOE HITTING MAN	135	JUNE 1970	PAGE 12
THWUK	WOMAN HITTING TENNIS BALL	168	JULY 1974	PAGE 48
THWUK	HILLBILLY BEING KICKED IN THE REAR	241	SEPT 1983	PAGE 42
TIK TIK SKREEE	RUNNING DOWN STEPS AND SKIDDING TO A STOP	97	SEPT 1965	PAGE 8
TIK TIK TIK TIK	VIDEO GAME	148	JAN 1972	18-19
TIK TIK TIK TIK	HITTING STOUT STICK AGAINST SMALL ROCK	153	SEP 1972	PAGE 18
TIK TIKKA TIKKAK TA-TAGAK TAK TIKKA TAKKA	TYPIST TYING ON TYPEWRITER	258	OCT 1985	PAGE 24
TIKA TIKA TIKA TIKA	RUNNING DOWN WOOD STEPS	97	SEPT 1965	PAGE 8
TIKA-TIKA	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
TIKATIK-CHIRP	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
TIK-TIK	INDIANS MAKING NOISES	121	SEPTEMBER 1968	PAGE 14
